0,Mondrian,/tmpbanos_3.log,1.0,0.1,1.0,1,600000
1,Mondrian,/tmpbanos_3.log,0.4,0.0,1.0,5,600000
2,Mondrian,/tmpbanos_3.log,0.4,0.0,1.0,10,600000
3,Mondrian,/tmpbanos_3.log,0.2,0.0,1.0,50,600000
4,Mondrian,/tmpbanos_6.log,1.0,0.1,1.0,1,600000
5,Mondrian,/tmpbanos_6.log,0.4,0.0,1.0,5,600000
6,Mondrian,/tmpbanos_6.log,0.4,0.0,1.0,10,600000
7,Mondrian,/tmpbanos_6.log,0.2,0.0,1.0,50,600000
8,Mondrian,/tmpbanos_6.log,1.0,0.0,1.0,1,3000000
9,Mondrian,/tmpbanos_6.log,0.4,0.0,1.0,5,3000000
10,Mondrian,/tmpbanos_6.log,0.4,0.0,1.0,10,3000000
11,Mondrian,/tmpbanos_6.log,0.2,0.0,1.0,50,3000000
12,FNN,/tmpbanos_3_histogram.log,0.1,30
13,FNN,/tmpbanos_6_histogram.log,0.1,30
